13:00,17/11/2019 2:00:00 AM,XR AUSTRALIA, Montmorency: Welcome to the Rebellion Sun 13:00 UTC+11 &#183; 18 guests,/events/675355946204265/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
13:30,17/11/2019 2:30:00 AM,XR AUSTRALIA, Indooroopilly - Introduction to Extinction Rebellion Sun 13:30 UTC+10 &#183; 33 guests,/events/2386083461654595/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,18/11/2019 7:30:00 AM,XR AUSTRALIA, A Just Transition: Workers Rights and the Environment Movement Mon 18:30 UTC+11 &#183; 240 guests,/events/607985406404929/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
,17/11/2019 1:00:00 PM,XR AUSTRALIA, XR Global Hunger Strike 18 Nov–25 Nov &#183; 996 guests,/events/2637555322972382/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
09:15,16/11/2019 10:15:00 PM,XR NSW, Hazelbrook: The Work That Reconnects Sun 09:15 UTC+11 &#183; 55 guests,/events/433907977309792/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
14:00,17/11/2019 3:00:00 AM,XR NSW, Save The Bay Community Forum Sun 14:00 UTC+11 &#183; 2,159 guests,/events/1369998119819274/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,19/11/2019 7:30:00 AM,XR NSW, Welcome to the Rebellion - Next Steps To Climate Action Tue 18:30 UTC+11 &#183; 243 guests,/events/420984315505143/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,19/11/2019 7:30:00 AM,XR NSW, Sydney: Heading For Extinction (And What To Do About It) Tue 18:30 UTC+11 &#183; 295 guests,/events/569853700419892/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
18:30,20/11/2019 7:30:00 AM,XR NSW, Wollongong: Heading for Extinction (and what to do about it) Wed 18:30 UTC+11 &#183; 122 guests,/events/414006679219628/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
12:00,22/11/2019 1:00:00 AM,XR NSW, Sydney: GHD Should Support Renewables Not Coal Fri 12:00 UTC+11 &#183; 27 guests,/events/1148608142010057/?acontext=%7B%22ref%22%3A51%2C%22source%22%3A5%2C%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%5C%22[]%5C%22%22%7D]%2C%22has_source%22%3Atrue%7D
